zone_id,zone_name,polygon_coordinates,value
1,MARINA (SOUTH),"POLYGON((103.855 1.27267,103.856 1.27316,103.851 1.27506,103.853 1.27941,103.853 1.2793,103.852 1.27879,103.852 1.27639,103.851 1.27624,103.851 1.27634,103.851 1.27661,103.851 1.27699,103.852 1.27985,103.852 1.28138,103.853 1.28188,103.853 1.28189,103.853 1.28058,103.853 1.28044,103.853 1.28048,103.853 1.28084,103.853 1.28206,103.853 1.28216,103.853 1.28205,103.853 1.28205,103.854 1.28196,103.854 1.28209,103.855 1.28141,103.855 1.2813,103.855 1.28086,103.856 1.28001,103.859 1.28528,103.859 1.28555,103.859 1.28556,103.859 1.28586,103.859 1.28587,103.859 1.28629,103.859 1.28662,103.859 1.28669,103.87 1.28157,103.873 1.27787,103.871 1.27586,103.863 1.26996,103.862 1.26924,103.861 1.2689,103.86 1.26869,103.859 1.26884,103.858 1.26921,103.856 1.2702,103.855 1.27088,103.856 1.27227,103.855 1.27253,103.851 1.27428,103.852 1.2739,103.855 1.27267))",102.75
2,EAST COAST PARK (NOT USED),"POLYGON((103.897 1.29527,103.901 1.29612,103.901 1.29612,103.902 1.29605,103.901 1.29536,103.894 1.29258,103.891 1.28985,103.89 1.28958,103.889 1.29021,103.889 1.29003,103.885 1.2869,103.884 1.28664,103.881 1.28376,103.879 1.28357,103.877 1.28185,103.876 1.28093,103.877 1.28069,103.878 1.28078,103.878 1.28032,103.877 1.28008,103.877 1.27996,103.875 1.28035,103.87 1.28559,103.867 1.2944,103.87 1.2951,103.874 1.29523,103.875 1.29543,103.877 1.29551,103.883 1.29566,103.889 1.29526,103.891 1.2953,103.893 1.29513,103.897 1.29527))",3
3,MARINA (NORTH),"POLYGON((103.869 1.30466,103.871 1.30205,103.867 1.29839,103.867 1.29442,103.867 1.2944,103.87 1.28559,103.875 1.28035,103.875 1.28035,103.873 1.27787,103.87 1.28156,103.87 1.28157,103.859 1.28669,103.858 1.28866,103.857 1.28981,103.857 1.29056,103.857 1.29097,103.856 1.29098,103.855 1.29195,103.856 1.29312,103.857 1.2955,103.857 1.29552,103.859 1.29731,103.86 1.29859,103.863 1.30017,103.863 1.30025,103.865 1.30216,103.865 1.30217,103.868 1.30398,103.869 1.30466))",34.75
4,HONG LIM,"POLYGON((103.854 1.28196,103.853 1.28205,103.853 1.28205,103.853 1.28216,103.853 1.28206,103.853 1.28084,103.853 1.28048,103.853 1.28044,103.853 1.28058,103.853 1.28189,103.853 1.28188,103.852 1.28138,103.852 1.27985,103.85 1.28085,103.851 1.28175,103.85 1.28194,103.848 1.28329,103.847 1.2842,103.848 1.2869,103.849 1.28863,103.849 1.28864,103.849 1.28916,103.85 1.28887,103.85 1.28886,103.851 1.28691,103.851 1.28688,103.851 1.28646,103.852 1.28641,103.852 1.28666,103.852 1.28667,103.853 1.28717,103.853 1.2877,103.853 1.28862,103.853 1.28863,103.858 1.28866,103.859 1.28669,103.859 1.28662,103.859 1.28629,103.859 1.28587,103.859 1.28586,103.859 1.28556,103.859 1.28555,103.859 1.28528,103.859 1.28526,103.856 1.28001,103.855 1.28086,103.855 1.2813,103.855 1.28139,103.855 1.28141,103.854 1.28209,103.854 1.28196))",13
5,CHINATOWN,"POLYGON((103.843 1.29156,103.844 1.29121,103.845 1.29048,103.845 1.28949,103.845 1.28933,103.845 1.28931,103.847 1.28986,103.847 1.28995,103.848 1.28979,103.849 1.28937,103.849 1.28916,103.849 1.28864,103.848 1.2869,103.847 1.2842,103.844 1.28067,103.844 1.28133,103.843 1.28135,103.843 1.28095,103.843 1.28101,103.842 1.28212,103.843 1.28299,103.842 1.28347,103.84 1.28067,103.84 1.28169,103.842 1.28411,103.842 1.28526,103.842 1.28643,103.842 1.28717,103.842 1.28821,103.841 1.2892,103.842 1.29064,103.843 1.29156))",69
6,TELOK AYER,"POLYGON((103.844 1.28067,103.847 1.2842,103.848 1.28329,103.85 1.28194,103.851 1.28175,103.85 1.28085,103.852 1.27985,103.851 1.27699,103.851 1.27661,103.851 1.27634,103.851 1.27624,103.852 1.27639,103.852 1.27879,103.853 1.2793,103.853 1.27941,103.851 1.27506,103.85 1.27541,103.849 1.2759,103.848 1.27651,103.847 1.27713,103.844 1.28067))",11.25
7,TANJONG PAGAR,"POLYGON((103.85 1.27541,103.851 1.27506,103.856 1.27316,103.855 1.27267,103.855 1.27253,103.851 1.27428,103.851 1.27381,103.852 1.27308,103.852 1.26342,103.851 1.26288,103.852 1.26125,103.851 1.26035,103.846 1.26653,103.845 1.26554,103.847 1.26221,103.846 1.26155,103.845 1.26246,103.843 1.26389,103.843 1.26464,103.843 1.26797,103.843 1.27007,103.843 1.27085,103.842 1.27136,103.844 1.27358,103.843 1.27389,103.843 1.27438,103.843 1.27666,103.844 1.28067,103.847 1.27713,103.848 1.27651,103.849 1.2759,103.85 1.27541))",38.75
8,KEPPEL/SENTOSA,"POLYGON((103.843 1.26797,103.843 1.26464,103.843 1.26389,103.839 1.26741,103.833 1.26733,103.832 1.26725,103.832 1.2681,103.832 1.26877,103.833 1.26923,103.832 1.27071,103.833 1.27084,103.833 1.27102,103.833 1.27334,103.833 1.27355,103.829 1.27506,103.831 1.27544,103.833 1.27625,103.835 1.2763,103.835 1.27685,103.837 1.27804,103.837 1.27889,103.84 1.28067,103.84 1.28068,103.842 1.28347,103.843 1.28299,103.842 1.28212,103.843 1.28101,103.843 1.28095,103.843 1.28135,103.844 1.28133,103.844 1.28067,103.843 1.27666,103.843 1.27438,103.843 1.27389,103.844 1.27358,103.842 1.27136,103.843 1.27085,103.843 1.27007,103.843 1.26797))",52.25
9,MOUNT FABER/SENTOSA,"POLYGON((103.811 1.26935,103.811 1.27008,103.811 1.27097,103.812 1.2726,103.812 1.27301,103.813 1.27396,103.813 1.27401,103.814 1.27486,103.815 1.27566,103.816 1.27744,103.816 1.27817,103.817 1.27851,103.817 1.2801,103.818 1.28046,103.819 1.27926,103.821 1.27886,103.824 1.27858,103.824 1.27857,103.825 1.27797,103.827 1.27715,103.829 1.27506,103.833 1.27355,103.833 1.27334,103.833 1.27102,103.833 1.27084,103.832 1.27071,103.833 1.26923,103.832 1.26877,103.832 1.2681,103.832 1.26725,103.828 1.26455,103.825 1.26283,103.824 1.26278,103.824 1.26043,103.827 1.26202,103.827 1.26199,103.83 1.26367,103.833 1.26416,103.836 1.26416,103.836 1.26403,103.838 1.26309,103.842 1.25866,103.843 1.2577,103.843 1.25728,103.841 1.2566,103.839 1.25527,103.837 1.2542,103.833 1.25544,103.829 1.25657,103.829 1.25632,103.829 1.25635,103.828 1.25709,103.827 1.25706,103.827 1.25728,103.826 1.25761,103.825 1.25822,103.825 1.25893,103.824 1.25946,103.824 1.25679,103.825 1.25567,103.826 1.255,103.828 1.2547,103.831 1.25494,103.833 1.2547,103.834 1.25393,103.835 1.25348,103.835 1.25333,103.837 1.25346,103.838 1.2542,103.84 1.25415,103.84 1.25382,103.841 1.25393,103.842 1.25348,103.842 1.25244,103.843 1.25247,103.844 1.2526,103.845 1.25332,103.846 1.2534,103.847 1.25285,103.849 1.25211,103.848 1.25073,103.847 1.24875,103.844 1.24473,103.843 1.24346,103.841 1.24078,103.84 1.23992,103.838 1.23859,103.837 1.23834,103.836 1.23871,103.836 1.23893,103.835 1.23878,103.834 1.23762,103.833 1.23746,103.832 1.23772,103.831 1.23869,103.828 1.2411,103.822 1.24647,103.816 1.25086,103.811 1.25441,103.809 1.25574,103.808 1.25712,103.807 1.25882,103.806 1.25956,103.807 1.26011,103.808 1.26022,103.809 1.26009,103.812 1.25934,103.813 1.25928,103.815 1.25906,103.816 1.25871,103.817 1.25919,103.817 1.25991,103.818 1.26015,103.818 1.26002,103.819 1.25959,103.819 1.25904,103.82 1.25873,103.823 1.25679,103.823 1.26281,103.821 1.26288,103.821 1.26243,103.821 1.26244,103.821 1.26282,103.82 1.26284,103.82 1.26186,103.818 1.26191,103.818 1.26225,103.82 1.26223,103.82 1.26294,103.816 1.26362,103.813 1.26631,103.811 1.26607,103.81 1.26531,103.81 1.26498,103.809 1.26494,103.808 1.26496,103.808 1.26505,103.808 1.2657,103.808 1.26715,103.808 1.26768,103.81 1.26856,103.811 1.26935))",144.25
10,TELOK BLANGAH,"POLYGON((103.801 1.28421,103.804 1.2839,103.807 1.28367,103.811 1.28346,103.813 1.28309,103.815 1.28232,103.818 1.28046,103.817 1.2801,103.817 1.27851,103.816 1.27817,103.816 1.27744,103.816 1.27718,103.815 1.27566,103.814 1.27486,103.813 1.27401,103.813 1.27396,103.812 1.27301,103.812 1.2726,103.811 1.27097,103.811 1.27008,103.811 1.26935,103.81 1.26856,103.808 1.26768,103.808 1.26715,103.808 1.2657,103.807 1.26555,103.807 1.26556,103.807 1.26564,103.806 1.26624,103.806 1.2663,103.803 1.26923,103.803 1.26981,103.802 1.27077,103.802 1.27272,103.802 1.27371,103.802 1.27445,103.802 1.27543,103.803 1.27817,103.803 1.27874,103.803 1.27908,103.803 1.27914,103.802 1.28143,103.802 1.28151,103.801 1.28306,103.801 1.28421,103.801 1.28421))",58.75
